,安联臻爱无限医疗保险,光大永明达尔文超越者,支付宝健康福终身重疾险,微医保终身重疾
0,既往(18),超越者(152),健康(295),医保(313)
1,可以(13),达尔文(123),重疾险(185),保险(246)
2,产品(12),赔付(80),保障(152),医疗险(198)
3,健康(12),旗舰版(78),可以(134),产品(151)
4,告知(11),超级玛丽(75),保险(131),保障(137)
5,医疗(10),保额(75),保额(118),可以(132)
6,其他(10),保障(65),产品(104),百万(126)
7,医保(9),癌症(57),保费(104),医疗(124)
8,特需(9),产品(49),赔付(99),微保(117)
9,甲状腺(9),光大(49),支付宝(71),如果(101)
10,手术(8),重疾险(43),福重(71),奶爸(95)
11,但是(7),可以(41),少儿(67),重疾险(85)
12,没有(7),重疾(41),轻症(65),报销(80)
13,提供(7),附加(39),疾险(62),理赔(75)
14,就是(7),额外(33),保爷(62),腾讯(74)
15,结节(7),保险(31),重疾(62),投保(67)
16,医疗险(6),永明(31),没有(59),比较(63)
17,无限(6),二次(29),终身(58),微信(63)
18,疾病(6),健康(26),选择(54),没有(57)
19,如果(5),自己(25),如果(54),测评(57)
20,续保(5),保费(25),性价比(53),长期(54)
21,安联(5),我们(24),幸运(50),保险公司(54)
22,体检(5),基本(23),癌症(49),续保(52)
23,住院(5),奶爸(22),推荐(46),责任(51)
24,症状(5),对比(21),身故(46),住院(49)
25,这个(5),投保(21),疾病(45),保额(48)
26,理赔(5),轻症(21),大家(42),对比(47)
27,自己(5),如果(20),这款(39),服务(46)
28,不了(5),责任(20),返还(39),保费(44)
29,虽然(4),是否(19),问题(38),还是(44)
30,宽松(4),划算(19),我们(38),费用(43)
31,百万(4),疾病(19),测评(37),平台(43)
32,病历(4),选择(19),便宜(34),重疾(43)
33,异常(4),老公(18),分析(31),性价比(42)
34,拒赔(4),前年(18),高发(30),大家(41)
35,赔付(4),购买(17),保年(29),疾病(39)
36,门诊(4),恶性肿瘤(17),长期(29),看看(39)
37,一些(4),特定(17),学社(29),需要(39)
38,费率(4),非常(16),市场(29),赔额(38)
39,多少(4),考虑(15),是否(28),医疗保险(36)
40,长期(3),性价比(15),或者(28),专业(36)
41,停售(3),还是(15),购买(28),而且(36)
42,附加(3),区别(15),适合(27),赔付(36)
43,投保(3),一款(15),比较(27),还有(35)
44,高血压(3),中症(15),还是(27),很多(33)
45,要求(3),身故(15),投保(27),值不值得(32)
46,不是(3),测评(14),咨询(27),最高(32)
47,报告(3),情况(14),来说(26),比例(32)
48,描述(3),康乐(14),作为(26),一般(31)
49,记录(3),最高(14),多次(26),一下(31)
50,或者(3),没有(14),图片(25),支付宝(31)
51,算作(3),保险公司(13),关注(25),提供(31)
52,检查(3),复星(12),一下(25),意外(31)
53,康复(3),已经(12),情况(24),购买(30)
54,可笑(3),大白(12),对比(24),什么(30)
55,尿酸(3),适合(11),福保(24),范围(30)
56,属于(3),另外(11),目前(23),这些(30)
57,人家(3),几款(11),价格(23),了解(30)
58,多久(3),不过(11),私信(23),值得(30)
59,所以(3),理赔(11),建议(22),我们(29)
60,保险公司(3),预算(11),而且(22),肺炎(29)
61,免赔(3),比较(11),一年期(22),意外险(29)
62,万免(3),推荐(10),续保(22),在线(28)
63,比例(3),而且(10),理赔(22),关于(28)
64,责任(3),根据(10),不是(22),主要(27)
65,上面(3),平安(10),附加(22),新冠(27)
66,切除(3),因为(10),不过(22),承保(26)
67,报销(3),不是(10),系列(21),就是(26)
68,不过(3),当然(10),中症(21),内容(26)
69,超越(3),竹子(10),福保年(21),全面(26)
70,便宜(3),之前(9),周岁(21),所以(26)
71,比如(3),保险产品(9),一款(20),寿险(26)
72,甲状腺癌(3),还要(9),赔次(20),自己(25)
73,条件(2),结构(9),定期(20),社保(25)
74,考虑(2),大家(9),市面上(19),情况(25)
75,平安(2),了解(9),其实(19),保险产品(25)
76,年期(2),其中(9),这种(19),门诊(25)
77,其中(2),单次(9),一样(18),选择(24)
78,保障(2),一样(9),虽然(18),建议(24)
79,万一(2),宽松(9),康惠保(18),问题(24)
80,几年(2),一下(9),自己(18),朋友(24)
81,可能性(2),来看(9),全网(18),怎么样(24)
82,无忧(2),增加(9),包含(18),条件(23)
83,旗舰版(2),价格(9),扒开(18),健康(23)
84,比较(2),就是(9),秘密(18),一样(23)
85,符合(2),高发(9),最高(17),其实(23)
86,特别(2),优势(9),一些(17),癌症(23)
87,亮点(2),朋友(8),看到(17),平安(23)
88,单独(2),发现(8),指数(17),公司(22)
89,就诊(2),市场(8),预算(17),等待(22)
90,需要(2),这款(8),所以(17),出险(21)
91,正常(2),问题(8),告知(17),有点(21)
92,三款(2),保单(8),怎么(17),上面(21)
93,之前(2),首次(8),人生(17),不能(21)
94,医院(2),变化(8),成人(17),具体(21)
95,有过(2),两个(8),医疗险(17),大白(21)
96,不会(2),两者(8),考虑(17),考虑(20)
97,只要(2),一些(8),公众(16),两款(20)
98,里面(2),职业(8),条件(16),一些(20)
99,现在(2),限制(8),其他(16),终身(20)
100,关系(2),分析(8),超级玛丽(16),线下(20)
101,痊愈(2),寿险(8),最新(16),泰康(19)
102,年前(2),最近(7),奶爸(16),不过(19)
103,医生(2),很多(7),评测(15),适合(19)
104,告诉(2),有些(7),来看(15),市面上(19)
105,亲手(2),如何(7),短期(15),价格(19)
106,好好(2),豁免(7),可选(15),已经(19)
107,不然(2),关注(7),一年(15),虽然(19)
108,有意思(2),分享(7),全面(15),但是(19)
109,不全(2),看看(7),特定(15),恶性肿瘤(19)
110,补充(2),男性(7),责任(15),国际(19)
111,条款(2),什么(7),以上(15),津贴(18)
112,小心眼儿(2),多少(7),家庭(15),以上(18)
113,他们(2),升级(7),人保(15),要求(18)
114,知道(2),公众(7),时候(15),分析(18)
115,京东(2),最大(7),值得(15),一个(18)
116,友好(2),喜欢(7),父母(15),免费(18)
117,可赔(2),现在(7),综合(14),保证(18)
118,费用(2),整体(7),所有(14),只要(18)
119,缝合(2),所以(7),总结(14),公众(18)
120,体表(2),一个(7),实际(14),其他(17)
121,门槛(2),左右(7),不能(14),哪些(17)
122,相差(2),十步(7),相比(14),因为(17)
123,注意(2),重大(6),确诊(14),回答(17)
124,整体(2),这个(6),男性(14),时间(17)
125,几个(2),功能(6),非常(14),怎么(17)
126,真的(2),便宜(6),寿险(14),来源(17)
127,后花(2),条款(6),那么(14),享生(17)
128,慢性(2),有没有(6),儿童(14),定期(17)
129,最多报(2),身体(6),缺陷(14),用户(17)
130,大白(2),赞同(6),官方(13),重大(16)
,,来源(6),身体(13),万元(16)
,,返还(6),满期(13),比如(16)
,,间隔期(6),方面(13),图片(16)
,,女性(6),人寿(13),治疗(16)
,,真的(6),缴费(13),针对(16)
,,昆仑(6),很多(13),一份(16)
,,意义(6),覆盖(13),目前(15)
,,结论(6),十步(13),注意(15)
,,需要(6),生活(12),一点(15)
,,注意(6),重大(12),根据(15)
,,高性价比(6),回答(12),不错(15)
,,一家(6),一生(12),包含(15)
,,年龄(6),整体(12),年龄(15)
,,一年(6),过渡(12),约定(15)
,,因此(6),简单(12),药品(15)
,,知乎(5),还有(12),特需(15)
,,一直(5),间隔期(12),方案(15)
,,犹豫(5),每年(12),只有(15)
,,当中(5),人群(12),资料(15)
,,下手(5),应该(12),生保(15)
,,新品(5),比例(12),孩子(15)
,,感觉(5),完美(12),互联网(15)
,,中年(5),保险公司(12),告知(14)
,,商业保险(5),有没有(11),可能(14)
,,互联网(5),缺少(11),这个(14)
,,但是(5),评论(11),觉得(14)
,,回答(5),赞同(11),时候(14)
,,综合(5),疾险保(11),最新(14)
,,疾险(5),原因(11),质子(14)
,,相似(5),严格(11),重离子(14)
,,全面(5),同类产品(11),上线(14)
,,怎么(5),翻倍(11),不同(14)
,,覆盖(5),灵活(11),审核(14)
,,下面(5),首次(11),领取(14)
,,目前(5),意外险(11),报案(14)
,,狠起来(5),方案(11),只能(13)
,,足够(5),理财(11),不是(13)
,,上线(5),严重(11),帮忙(13)
,,时间(5),一个(11),分享(13)
,,基础(5),基本(11),程序(13)
,,进行(5),标准(11),直接(13)
,,觉得(5),对于(11),人群(13)
,,或者(5),宝宝(11),期天(13)
,,标准(5),旗舰版(11),少儿(13)
,,一点(5),父亲(10),费率(12)
,,需求(5),母亲(10),优势(12)
,,欢迎(5),想买重(10),一定(12)
,,两款(5),买过(10),基本(12)
,,防癌(5),懂得(10),增值(12)
,,建议(5),帮忙(10),便宜(12)
,,告知(5),感激(10),按照(12)
,,角度(5),调查(10),条款(12)
,,成为(5),商业保险(10),家庭(12)
,,各有(4),一般(10),这款(12)
,,侧重点(4),年纪(10),预算(12)
,,真心(4),不错(10),今天(12)
,,大半年(4),三次(10),想要(12)
,,花眼(4),一份(10),咨询(12)
,,有点(4),核保(10),限额(12)
,,麻木(4),交年(10),特效药(12)
,,知道(4),服务(10),护身(12)
,,新出(4),优点(10),方面(11)
,,配置(4),如下(10),那么(11)
,,值得(4),进行(10),解决(11)
,,夫妻(4),现在(10),每个(11)
,,深圳(4),两种(10),相对(11)
,,普通家庭(4),特别(10),关注(11)
,,人寿(4),疑问(10),划算(11)
,,获得(4),合适(10),轻症(11)
,,每次(4),什么(10),线上(11)
,,第二次(4),基础(10),赞同(11)
,,少儿(4),不足(10),到底(11)
,,地板(4),任何(10),下面(11)
,,百年(4),确实(9),中老年(11)
,,康惠保(4),有点(9),每年(11)
,,同类(4),至于(9),意见(11)
,,一生(4),需要(9),结论(11)
,,还有(4),恶性肿瘤(9),现在(11)
,,同样(4),优惠(9),进行(11)
,,这么(4),第一(9),不少(11)
,,总结(4),压力(9),一万元(10)
,,这些(4),根据(9),无法(10)
,,保微信(4),精选(9),风险(10)
,,差别(4),部分(9),或者(10)
,,很大(4),这样(9),医院(10)
,,时候(4),费率(9),最后(10)
,,特别(4),病种(9),符合(10)
,,计划(4),不大(9),商业保险(10)
,,具体(4),只要(9),是不是(10)
,,再次(4),合同(9),来说(10)
,,做到(4),重要(9),追求(10)
,,完美(4),缺点(9),一起(10)
,,方案(4),尊享(9),周岁(10)
,,真正(4),特疾(9),给付(10)
,,消费型(4),手术(9),以下(10)
,,说保(4),支持(8),的话(10)
,,认证(4),无法(8),附加(10)
,,官方(4),为什么(8),泰康人寿(10)
,,帐号(4),主推(8),疑问(10)
,,不到(4),更好(8),材料(10)
,,如下(4),定位(8),身故(10)
,,细微(4),只是(8),这种(10)
,,细节(4),足够(8),人寿(10)
,,罹患(4),真的(8),以后(10)
,,额度(4),因为(8),区别(10)
,,分组(4),先说(8),私信(9)
,,要求(4),豁免(8),简单(9)
,,保会(4),最后(8),这里(9)
,,优于(4),获得(8),就医(9)
,,不仅(4),持续(8),推出(9)
,,主要(4),看看(8),之前(9)
,,相比(4),内容(8),用药(9)
,,脑中风(4),身体状况(8),降低(9)
,,多出(4),既然(8),最低(9)
,,比如(4),结论(8),来看(9)
,,图片(4),补充(8),盘点(9)
,,并且(4),慢性(8),热门(9)
,,那么(4),肾功能(8),升级(9)
,,核保(4),衰竭(8),必要(9)
,,服务(4),早期(8),销售(9)
,,设定(4),期间(8),外购(9)
,,年收入(4),保到(8),保人(9)
,,二线(4),等待(8),第二(9)
,,城市(4),发布(7),诊疗(9)
,,低于(4),收藏(7),一年期(9)
,,评论(3),懂保爷(7),起付(9)
,,适不(3),仔细(7),发生(9)
,,可能(3),常见(7),用心(9)
,,你们(3),增长(7),最全(9)
,,自身(3),只能(7),一直(9)
,,衡量(3),就是(7),支付(9)
,,投保人(3),每次(7),微保上(9)
,,同为(3),左右(7),代理人(9)
,,近期(3),之前(7),宽松(8)
,,推出(3),可能(7),才能(8)
,,嘉多(3),非常适合(7),合适(8)
,,保重(3),留言(7),特点(8)
,,直观(3),指南(7),由于(8)
,,清楚(3),推出(7),是否(8)
,,最为(3),承保(7),评论(8)
,,包括(3),如何(7),丰富(8)
,,相对(3),其中(7),系列(8)
,,其实(3),一种(7),基础(8)
,,其余(3),一定(7),种类(8)
,,各项(3),分组(7),一年(8)
,,数据(3),双倍(7),而微(8)
,,优秀(3),毕竟(7),第二年(8)
,,方面(3),百万(7),容易(8)
,,对于(3),机能(7),小心(8)
,,对应(3),结合(7),几款(8)
,,这里(3),稳定(7),知识(8)
,,重要(3),影响(7),老人(8)
,,所有(3),直接(7),发布(8)
,,涵盖(3),保险产品(7),喜欢(8)
,,明明白白(3),意外(7),版微(8)
,,多重(3),二级(7),医疗保障(8)
,,发布(3),知乎(6),全解微(8)
,,赞赏(3),分享(6),指定(8)
,,这句(3),同时(6),元天(8)
,,用来(3),年轻(6),如下(8)
,,形容(3),随着(6),结果(8)
,,前段时间(3),前期(6),保单(8)
,,让利(3),之选(6),两类(8)
,,消费者(3),看来(6),最近(8)
,,直呼(3),意思(6),一家(8)
,,过瘾(3),可赔(6),干货(8)
,,这家(3),另外(6),科普(8)
,,银行(3),贵上(6),欢迎(8)
,,贵族(3),必要(6),延伸(8)
,,赚得(3),的话(6),如何(8)
,,盆满(3),突出(6),保险金(8)
,,看来(3),不算(6),二诊(8)
,,貌似(3),智能(6),社交(8)
,,任何(3),对此(6),合同(8)
,,收手(3),上款(6),有些(8)
,,意思(3),市面(6),一款(7)
,,反而(3),没什么(6),万免(7)
,,一个月(3),最好(6),险种(7)
,,打磨(3),种重(6),覆盖(7)
,,高出(3),有些(6),留言(7)
,,天际(3),表格(6),额度(7)
,,一目了然(3),之王(6),依然(7)
,,除了(3),女性(6),知乎(7)
,,退保(3),轻中症(6),搬运工(7)
,,保和芯(3),即可(6),差不多(7)
,,存在(3),大礼(6),医疗费(7)
,,手术(3),赔万(6),经济(7)
,,看到(3),一步(6),中症(7)
,,一项(3),阶段性(6),阅读(7)
,,来说(3),发生变化(6),爸保(7)
,,咨询(3),身体健康(6),两个(7)
,,获取(3),年轻人(6),版本(7)
,,记得(3),健康状况(6),职业(7)
,,先说(3),而是(6),限制(7)
,,会贵(3),年龄(6),每天(7)
,,公司(3),保证(6),确诊(7)
,,轻微(3),在内(6),二级(7)
,,患重(3),复发(6),担心(7)
,,不带(3),转移(6),门槛(7)
,,保险金额(3),单次(6),有限(7)
,,患者(3),超倍(6),哪款(7)
,,同类产品(3),守护(6),儿童(7)
,,费率(3),嘉多保(6),生活(7)
,,发病率(3),统一(6),几乎(7)
,,死亡率(3),但是(6),增加(7)
,,结节(3),平台(6),通过(7)
,,支持(2),消费型(6),提交(7)
,,显示(2),条款(6),身体(6)
,,保想(2),福是(6),实际(6)
,,保奶爸(2),重疾轻症(6),使用(6)
,,保奶(2),配置(6),属于(6)
,,爸保(2),要求(6),一种(6)
,,中立(2),这个(5),高额(6)
,,客观(2),显示(5),接下来(6)
,,专业(2),邀请(5),普通(6)
,,保官(2),平安(5),功能(6)
,,年份(2),题主所(5),买微(6)
,,内容(2),上表(5),显示(6)
,,重疾次(2),有款(5),超级玛丽(6)
,,症次(2),他们(5),游戏(6)
,,发生(2),不高(5),文章(6)
,,保险金(2),相对来说(5),保有(6)
,,已交(2),再来(5),遇到(6)
,,以下(2),青年(5),方便(6)
,,无关(2),用来(5),认证(6)
,,新发(2),毛病(5),官方(6)
,,复发(2),因此(5),帐号(6)
,,转移(2),当然(5),多年(6)
,,持续(2),手头(5),经验(6)
,,认为(2),一次(5),经常(6)
,,甚至(2),按返(5),期限(6)
,,更胜一筹(2),加保(5),产生(6)
,,条件(2),一点(5),几个(6)
,,提高(2),基本保障(5),这项(6)
,,部位(2),以及(5),公立医院(6)
,,诚意(2),下面(5),这点(6)
,,怎么样(2),无忧(5),每次(6)
,,保新(2),优秀(5),不会(6)
,,横向(2),百年(5),测算(6)
,,很早(2),本文(5),听说(6)
,,命名(2),导致(5),稳定(6)
,,一段时间(2),亮点(5),零免(6)
,,明显(2),区别(5),应该(6)
,,快速(2),实用(5),自费(6)
,,为什么(2),前年(5),封顶(6)
,,单纯(2),额外(5),推荐(6)
,,保轻症(2),知识(5),白血病(6)
,,高额(2),专注(5),特定(6)
,,递增(2),斜杠(5),普通人(6)
,,极其(2),一件(5),严选(6)
,,不服输(2),由于(5),这样(6)
,,十年(2),各种(5),准备(6)
,,强大(2),受限(5),收款(6)
,,没差(2),较大(5),本身(6)
,,条例(2),首要(5),核心(6)
,,对得起(2),就要(5),信息(6)
,,名号(2),给出(5),确实(6)
,,福新(2),题目(5),客服(6)
,,两倍(2),出来(5),四大(6)
,,多比同(2),多加(5),一次(6)
,,高上(2),进去(5),成人(6)
,,不少(2),保监会(5),详细(6)
,,这次(2),视力(5),网上(6)
,,福有(2),不会(5),各种(5)
,,改变(2),个人(5),门急诊(5)
,,点击(2),风险(5),需求(5)
,,传送门(2),再说(5),背后(5)
,,立刻(2),期限(5),只是(5)
,,超越(2),恶性(5),拒绝(5)
,,一句(2),划算(5),发现(5)
,,评测(2),客服(5),浏览(5)
,,查看(2),回复(5),不要(5)
,,具体操作(2),宽松(5),当然(5)
,,打开(2),互联网(5),看到(5)
,,菜单栏(2),以下(5),存在(5)
,,攻略(2),多少(5),异常(5)
,,严选(2),信息(5),免赔(5)
,,看重(2),医院(5),真的(5)
,,四款(2),详细(5),千万(5)
,,法定(2),瑞泰(5),这么(5)
,,定义(2),瑞盈(5),实在(5)
,,合理(2),添加(4),同样(5)
,,起来(2),时间(4),全国(5)
,,前种(2),反对(4),重要(5)
,,选购(2),喜欢(4),父母(5)
,,包含(2),收起(4),更新换代(5)
,,以上(2),注意(4),之后(5)
,,制定(2),类型(4),设有(5)
,,明码标价(2),赔重(4),分为(5)
,,只能(2),接下来(4),着重(5)
,,而定(2),此外(4),介绍(5)
,,强调(2),支出(4),我会(5)
,,因素(2),三年(4),实用(5)
,,与其(2),无论(4),各有不同(5)
,,为了(2),挑选(4),人保(5)
,,缩减(2),二次(4),先上(5)
,,不如(2),友好(4),之间(5)
,,之内(2),想要(4),整体(5)
,,这样(2),觉得(4),万有(5)
,,选奶(2),文章(4),补贴(5)
,,举例(2),保单(4),海外(5)
,,那句(2),爸保(4),抗癌(5)
,,老话(2),客观(4),诊断(5)
,,几乎(2),专业(4),不足(5)
,,一模一样(2),年月日(4),健康状况(5)
,,世界(2),更新(4),单独(5)
,,一套(2),公司(4),遗憾(5)
,,适用(2),方式(4),稳定性(5)
,,必须(2),复杂(4),这篇(5)
,,要花(2),保险金(4),不用(5)
,,做好(2),不幸(4),上半年(5)
,,花钱(2),罹患(4),综合(5)
,,切切实实(2),不同(4),相同(5)
,,家人(2),几款(4),下奶(5)
,,参考(2),康乐(4),有用(5)
,,两篇(2),本身(4),解答(5)
,,文章(2),规划(4),新增(5)
,,储蓄型(2),孩子(4),整理(5)
,,玫瑰(2),终止(4),申请(5)
,,手有余香(2),切除(4),不多(5)
,,第一个(2),更高(4),获得(5)
,,反对(2),已交(4),压力(5)
,,收藏(2),明显(4),保微信(5)
,,收起(2),出现(4),第一个(5)
,,保已(2),经济(4),第八(5)
,,很小(2),微信(4),团张(5)
,,优化(2),后台(4),放心(5)
,,不要(2),记录(4),明确(5)
,,仅仅(2),异常(4),常见(5)
,,必要性(2),读财(4),相信(5)
,,正在(2),最长(4),流量(5)
,,赶紧(2),种类(4),姗姗来迟(5)
,,纳入(2),高残(4),首要(5)
,,名单(2),典型(4),攻略(5)
,,没什么(2),比如(4),高性价比(5)
,,意外(2),慢慢(4),超越(5)
,,下半年(2),然后(4),在于(5)
,,妥妥(2),万元(4),规划(5)
,,爆款(2),十几万(4),深蓝(5)
,,没错(2),入手(4),核保(4)
,,来盘(2),并且(4),概率(4)
,,一盘(2),每个(4),有个(4)
,,热门(2),价格便宜(4),算是(4)
,,详细(2),就医(4),除外(4)
